,,PressureMeas_1m,,TAStat155_1m_1,,RHStat155_1m_1,,SRMeasQMS101R_1m,,PRMeasQMR101_1,,QFE_1m,,QNH_1m,,WS_1m,,WD_1m,,TGMeasQMT103_1m,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,PR,status,QF,status,QNH,status,Avg,status,Avg,status,Avg,
2/5/25 12:00:07 AM,VALID,1007.317,VALID,24.342,VALID,93.877,VALID,46.279,VALID,0.0,VALID,1007.317,VALID,1007.173,VALID,1.955,VALID,311.973,INVALID,0.0,
2/5/25 12:01:06 AM,VALID,1007.312,VALID,24.361,VALID,93.832,VALID,46.669,VALID,0.0,VALID,1007.312,VALID,1007.169,VALID,1.455,VALID,305.436,INVALID,0.0,
2/5/25 12:02:06 AM,VALID,1007.308,VALID,24.372,VALID,93.769,VALID,46.877,VALID,0.0,VALID,1007.308,VALID,1007.165,VALID,1.415,VALID,308.137,INVALID,0.0,
2/5/25 12:03:06 AM,VALID,1007.316,VALID,24.407,VALID,93.899,VALID,47.097,VALID,0.0,VALID,1007.316,VALID,1007.173,VALID,1.503,VALID,313.579,INVALID,0.0,
2/5/25 12:04:06 AM,VALID,1007.314,VALID,24.409,VALID,93.849,VALID,47.185,VALID,0.0,VALID,1007.314,VALID,1007.171,VALID,1.596,VALID,312.454,INVALID,0.0,
2/5/25 12:05:06 AM,VALID,1007.33,VALID,24.4,VALID,93.605,VALID,43.523,VALID,0.0,VALID,1007.33,VALID,1007.186,VALID,2.017,VALID,316.171,INVALID,0.0,
2/5/25 12:06:06 AM,VALID,1007.351,VALID,24.409,VALID,93.396,VALID,47.335,VALID,0.0,VALID,1007.351,VALID,1007.208,VALID,1.971,VALID,312.039,INVALID,0.0,
2/5/25 12:07:06 AM,VALID,1007.366,VALID,24.415,VALID,93.059,VALID,47.291,VALID,0.0,VALID,1007.366,VALID,1007.223,VALID,1.936,VALID,317.602,INVALID,0.0,
2/5/25 12:08:06 AM,VALID,1007.398,VALID,24.454,VALID,92.901,VALID,47.394,VALID,0.0,VALID,1007.398,VALID,1007.255,VALID,1.78,VALID,309.472,INVALID,0.0,
2/5/25 12:09:06 AM,VALID,1007.424,VALID,24.496,VALID,92.697,VALID,47.462,VALID,0.0,VALID,1007.424,VALID,1007.28,VALID,1.618,VALID,309.021,INVALID,0.0,
2/5/25 12:10:06 AM,VALID,1007.459,VALID,24.525,VALID,92.708,VALID,47.467,VALID,0.0,VALID,1007.459,VALID,1007.316,VALID,1.738,VALID,301.256,INVALID,0.0,
2/5/25 12:11:06 AM,VALID,1007.486,VALID,24.528,VALID,92.376,VALID,47.514,VALID,0.0,VALID,1007.486,VALID,1007.342,VALID,1.297,VALID,300.724,INVALID,0.0,
2/5/25 12:12:06 AM,VALID,1007.516,VALID,24.618,VALID,92.783,VALID,47.614,VALID,0.0,VALID,1007.516,VALID,1007.372,VALID,1.104,VALID,296.244,INVALID,0.0,
2/5/25 12:13:06 AM,VALID,1007.54,VALID,24.625,VALID,92.957,VALID,47.677,VALID,0.0,VALID,1007.54,VALID,1007.397,VALID,0.997,VALID,284.2,INVALID,0.0,
2/5/25 12:14:06 AM,VALID,1007.554,VALID,24.583,VALID,92.649,VALID,47.586,VALID,0.0,VALID,1007.554,VALID,1007.41,VALID,1.453,VALID,286.933,INVALID,0.0,
2/5/25 12:15:06 AM,VALID,1007.572,VALID,24.578,VALID,92.371,VALID,47.463,VALID,0.0,VALID,1007.572,VALID,1007.429,VALID,1.225,VALID,298.641,INVALID,0.0,
2/5/25 12:16:06 AM,VALID,1007.586,VALID,24.606,VALID,92.431,VALID,47.325,VALID,0.0,VALID,1007.586,VALID,1007.443,VALID,0.612,VALID,293.134,INVALID,0.0,
2/5/25 12:17:06 AM,VALID,1007.611,VALID,24.678,VALID,92.78,VALID,47.319,VALID,0.0,VALID,1007.611,VALID,1007.467,VALID,0.859,VALID,299.187,INVALID,0.0,
2/5/25 12:18:06 AM,VALID,1007.628,VALID,24.645,VALID,92.515,VALID,47.149,VALID,0.0,VALID,1007.628,VALID,1007.485,VALID,1.467,VALID,304.37,INVALID,0.0,
2/5/25 12:19:06 AM,VALID,1007.65,VALID,24.662,VALID,92.299,VALID,47.025,VALID,0.0,VALID,1007.65,VALID,1007.507,VALID,1.343,VALID,299.221,INVALID,0.0,
2/5/25 12:20:06 AM,VALID,1007.66,VALID,24.652,VALID,92.028,VALID,43.064,VALID,0.0,VALID,1007.66,VALID,1007.516,VALID,1.218,VALID,297.356,INVALID,0.0,
2/5/25 12:21:06 AM,VALID,1007.687,VALID,24.639,VALID,91.512,VALID,46.324,VALID,0.0,VALID,1007.687,VALID,1007.544,VALID,1.213,VALID,296.83,INVALID,0.0,
2/5/25 12:22:06 AM,VALID,1007.721,VALID,24.699,VALID,91.726,VALID,45.924,VALID,0.0,VALID,1007.721,VALID,1007.577,VALID,1.938,VALID,297.284,INVALID,0.0,
2/5/25 12:23:06 AM,VALID,1007.74,VALID,24.674,VALID,91.043,VALID,45.338,VALID,0.0,VALID,1007.74,VALID,1007.596,VALID,1.502,VALID,280.947,INVALID,0.0,
2/5/25 12:24:06 AM,VALID,1007.761,VALID,24.74,VALID,91.027,VALID,44.753,VALID,0.0,VALID,1007.761,VALID,1007.618,VALID,1.062,VALID,289.154,INVALID,0.0,
2/5/25 12:25:06 AM,VALID,1007.774,VALID,24.77,VALID,91.354,VALID,44.603,VALID,0.0,VALID,1007.774,VALID,1007.631,VALID,1.055,VALID,298.91,INVALID,0.0,
2/5/25 12:26:06 AM,VALID,1007.798,VALID,24.77,VALID,91.312,VALID,44.453,VALID,0.0,VALID,1007.798,VALID,1007.654,VALID,1.486,VALID,296.086,INVALID,0.0,
2/5/25 12:27:06 AM,VALID,1007.828,VALID,24.779,VALID,91.132,VALID,43.547,VALID,0.0,VALID,1007.828,VALID,1007.685,VALID,1.347,VALID,283.713,INVALID,0.0,
2/5/25 12:28:06 AM,VALID,1007.854,VALID,24.767,VALID,90.734,VALID,42.818,VALID,0.0,VALID,1007.854,VALID,1007.71,VALID,1.677,VALID,292.09,INVALID,0.0,
2/5/25 12:29:06 AM,VALID,1007.869,VALID,24.79,VALID,90.589,VALID,42.223,VALID,0.0,VALID,1007.869,VALID,1007.726,VALID,1.672,VALID,298.53,INVALID,0.0,
2/5/25 12:30:06 AM,VALID,1007.866,VALID,24.815,VALID,90.617,VALID,41.792,VALID,0.0,VALID,1007.866,VALID,1007.723,VALID,1.325,VALID,292.353,INVALID,0.0,
2/5/25 12:31:06 AM,VALID,1007.874,VALID,24.849,VALID,90.839,VALID,41.531,VALID,0.0,VALID,1007.874,VALID,1007.731,VALID,1.643,VALID,294.262,INVALID,0.0,
2/5/25 12:32:06 AM,VALID,1007.891,VALID,24.875,VALID,90.907,VALID,41.612,VALID,0.0,VALID,1007.891,VALID,1007.747,VALID,2.043,VALID,286.155,INVALID,0.0,
2/5/25 12:33:06 AM,VALID,1007.92,VALID,24.884,VALID,90.958,VALID,43.483,VALID,0.0,VALID,1007.92,VALID,1007.777,VALID,2.439,VALID,293.283,INVALID,0.0,
2/5/25 12:34:06 AM,VALID,1007.952,VALID,24.875,VALID,90.355,VALID,44.524,VALID,0.0,VALID,1007.952,VALID,1007.808,VALID,2.17,VALID,295.017,INVALID,0.0,
2/5/25 12:35:06 AM,VALID,1007.973,VALID,24.875,VALID,89.991,VALID,40.48,VALID,0.0,VALID,1007.973,VALID,1007.829,VALID,1.988,VALID,292.451,INVALID,0.0,
2/5/25 12:36:06 AM,VALID,1008.002,VALID,24.9,VALID,90.138,VALID,43.162,VALID,0.0,VALID,1008.002,VALID,1007.858,VALID,1.975,VALID,293.971,INVALID,0.0,
2/5/25 12:37:06 AM,VALID,1008.043,VALID,24.924,VALID,90.357,VALID,42.307,VALID,0.0,VALID,1008.043,VALID,1007.9,VALID,1.626,VALID,287.073,INVALID,0.0,
