"Time (UTC)","Temperature Average 1 min (oC)","Humidity Average 1 min (%)","Wind Direction Prevailing 1 min (deg)","Wind Speed Average 1 min (m/s)","Solar Radiation Average 1 min (W/m2)","Pressure Average 1 min (mb)","Water Temperature Average 1 min (oC)","Wind Evaporation Average 1 min (m/s),"
05/02/2025 00:00,24.40,95.00,321.45,1.68,45.51,1007.70,24.46,0.94
05/02/2025 00:01,24.40,95.00,275.20,1.64,48.11,1007.70,24.49,0.79
05/02/2025 00:02,24.40,95.00,224.50,1.72,50.25,1007.70,24.40,1.09
05/02/2025 00:03,24.40,95.00,307.95,1.31,52.32,151.16,24.47,0.95
05/02/2025 00:04,24.40,95.00,272.10,0.98,54.19,0.00,24.50,0.79
05/02/2025 00:05,24.50,95.00,276.65,1.77,55.96,0.00,24.50,0.87
05/02/2025 00:06,24.50,94.65,292.40,1.80,57.60,201.54,24.50,1.02
05/02/2025 00:07,24.50,94.00,325.30,1.52,59.10,1007.70,24.50,1.02
05/02/2025 00:08,24.50,94.85,336.90,1.65,60.62,1007.74,24.50,0.76
05/02/2025 00:09,24.50,94.25,310.40,1.21,62.21,1007.80,24.50,0.87
05/02/2025 00:10,24.50,94.00,325.90,1.35,63.70,1007.80,24.50,0.81
05/02/2025 00:11,24.50,94.60,317.25,1.07,65.20,1007.80,24.50,0.66
05/02/2025 00:12,24.50,95.00,317.55,1.20,66.55,1007.88,24.54,0.40
05/02/2025 00:13,24.50,94.65,320.65,1.94,67.65,1007.90,24.60,0.58
05/02/2025 00:14,24.50,94.00,311.05,1.84,68.40,1007.90,24.60,0.98
05/02/2025 00:15,24.54,94.00,323.35,1.60,69.33,1007.90,24.60,0.78
05/02/2025 00:16,24.60,94.30,319.55,1.70,70.15,1007.94,24.60,0.75
05/02/2025 00:17,24.60,94.45,323.10,2.21,69.58,1008.00,24.60,1.27
05/02/2025 00:18,24.60,94.00,310.75,2.03,68.99,1008.00,24.60,0.72
05/02/2025 00:19,24.60,94.00,322.85,2.08,69.64,1008.00,24.60,1.07
05/02/2025 00:20,24.60,94.00,317.55,1.94,70.73,1008.00,24.61,0.92
05/02/2025 00:21,24.60,94.00,317.65,1.83,71.60,1008.01,24.70,0.85
05/02/2025 00:22,24.60,94.00,308.30,1.64,72.51,1008.10,24.70,0.51
05/02/2025 00:23,24.68,94.00,319.75,1.78,73.50,1008.10,24.70,0.91
05/02/2025 00:24,24.67,94.00,320.00,1.54,74.56,1008.10,24.70,0.99
05/02/2025 00:25,24.62,94.00,313.20,1.15,75.81,1008.10,24.70,0.80
05/02/2025 00:26,24.70,94.00,304.85,1.45,77.33,1008.10,24.70,0.60
05/02/2025 00:27,24.70,94.00,303.40,1.64,79.02,1008.19,24.70,0.81
05/02/2025 00:28,24.70,94.00,309.35,1.87,80.77,1008.20,24.70,0.82
05/02/2025 00:29,24.70,94.00,312.70,2.43,82.65,1008.20,24.70,1.20
05/02/2025 00:30,24.70,94.00,321.55,1.96,84.60,1008.20,24.70,0.96
05/02/2025 00:31,24.70,94.00,310.50,1.89,86.87,1008.20,24.76,0.79
05/02/2025 00:32,24.76,94.00,314.75,2.45,89.15,1008.20,24.80,1.17
05/02/2025 00:33,24.70,93.75,314.50,1.98,90.65,1008.27,24.80,1.24
05/02/2025 00:34,24.72,93.55,313.25,1.88,91.05,1008.30,24.80,0.89
05/02/2025 00:35,24.80,94.00,311.15,1.88,90.78,1008.30,24.80,0.93
05/02/2025 00:36,24.80,94.00,317.80,1.68,90.00,1008.34,24.80,0.84
05/02/2025 00:37,24.80,94.00,304.40,1.74,89.18,1008.40,24.80,0.67
05/02/2025 00:38,24.80,94.00,311.95,2.34,86.97,1008.40,24.85,1.08
05/02/2025 00:39,24.80,94.00,307.30,2.16,81.73,1008.42,24.87,1.00
05/02/2025 00:40,24.85,94.00,306.25,3.04,75.88,1008.50,24.80,1.35
05/02/2025 00:41,24.90,94.00,314.60,3.06,72.68,1008.50,24.80,1.59
05/02/2025 00:42,24.90,94.00,316.60,3.12,71.98,1008.50,24.80,1.31
05/02/2025 00:43,24.90,93.25,314.75,3.25,71.27,1008.50,24.80,1.55
05/02/2025 00:44,24.90,93.00,314.20,2.85,74.14,1008.56,24.80,1.23
05/02/2025 00:45,24.90,93.55,306.15,3.12,79.64,1008.60,24.80,1.19
05/02/2025 00:46,24.90,94.00,311.05,2.90,83.78,1008.60,24.80,1.49
05/02/2025 00:47,24.90,94.00,308.40,2.71,87.79,1008.60,24.90,1.32
05/02/2025 00:48,24.90,94.00,309.85,3.58,89.79,1008.60,24.87,1.66
05/02/2025 00:49,24.90,93.90,311.95,3.13,89.54,1008.60,24.83,1.27
05/02/2025 00:50,24.96,93.75,321.70,2.84,89.74,1008.60,24.86,1.41
05/02/2025 00:51,24.95,93.35,318.35,2.32,92.67,1008.60,24.90,1.03
05/02/2025 00:52,24.98,93.00,319.30,2.42,98.85,1008.60,24.90,1.39
05/02/2025 00:53,25.00,93.00,320.45,2.08,101.64,1008.60,24.90,1.27
05/02/2025 00:54,25.00,93.00,324.35,2.40,102.08,1008.60,24.94,0.93
05/02/2025 00:55,25.00,93.00,313.80,3.25,100.58,1008.60,25.00,1.52
05/02/2025 00:56,25.00,93.00,312.05,3.54,98.94,1008.60,24.92,1.63
05/02/2025 00:57,25.00,93.00,310.45,3.13,100.81,1008.69,24.90,1.47
05/02/2025 00:58,25.00,93.00,310.00,2.83,102.36,1008.70,24.96,1.18
05/02/2025 00:59,25.09,93.00,312.10,3.11,100.51,1008.74,25.00,1.49
05/02/2025 01:00,25.05,93.00,312.05,2.61,98.60,1008.80,25.00,1.05
05/02/2025 01:01,25.05,92.75,315.60,3.24,97.76,1008.80,25.00,1.29
05/02/2025 01:02,25.10,92.10,317.30,2.99,97.31,1008.80,25.00,1.38
05/02/2025 01:03,25.10,92.45,323.75,2.28,97.58,1008.81,25.00,1.26
05/02/2025 01:04,25.10,93.00,325.28,2.07,98.63,1008.90,25.00,1.09
05/02/2025 01:05,25.10,92.95,327.40,2.21,102.43,1008.90,25.03,1.17
05/02/2025 01:06,25.10,92.00,311.40,2.08,105.33,1008.90,25.10,0.93
05/02/2025 01:07,25.13,92.00,316.65,1.76,98.07,1008.90,25.10,0.89
05/02/2025 01:08,25.20,92.60,318.80,2.19,89.69,1008.90,25.10,1.15
05/02/2025 01:09,25.20,92.00,321.50,2.12,103.50,151.33,25.11,1.10
05/02/2025 01:10,25.20,92.00,320.80,2.12,121.85,0.00,25.20,0.97
05/02/2025 01:11,25.20,92.00,320.10,1.65,132.11,554.89,25.21,0.93
05/02/2025 01:12,25.21,92.55,320.20,1.97,134.83,0.00,25.30,0.88
05/02/2025 01:13,25.30,93.00,302.35,2.00,131.53,958.54,25.30,1.00
05/02/2025 01:14,25.30,93.00,313.10,2.81,127.44,1009.00,25.30,1.23
05/02/2025 01:15,25.30,93.00,311.65,2.54,123.72,1009.00,25.30,1.31
05/02/2025 01:16,25.30,93.00,308.10,2.39,119.83,1009.00,25.30,1.39
05/02/2025 01:17,25.30,93.00,303.45,2.96,119.04,1009.00,25.29,1.60
05/02/2025 01:18,25.30,92.10,313.30,3.04,115.96,1009.00,25.20,1.32
05/02/2025 01:19,25.30,92.00,313.20,2.31,102.93,1009.00,25.20,0.98
05/02/2025 01:20,25.30,92.00,317.25,2.22,90.01,1009.00,25.20,1.22
05/02/2025 01:21,25.37,92.00,310.45,2.77,90.17,1009.00,25.22,1.07
05/02/2025 01:22,25.40,92.00,311.65,2.86,107.53,1009.00,25.30,1.34
05/02/2025 01:23,25.40,92.40,313.60,2.34,128.08,1009.00,25.33,1.05
05/02/2025 01:24,25.40,92.00,312.80,1.91,126.48,1009.00,25.40,0.91
05/02/2025 01:25,25.40,92.00,323.95,2.24,96.43,1009.00,25.39,1.24
05/02/2025 01:26,25.40,92.00,323.32,2.43,62.75,1009.00,25.30,1.09
05/02/2025 01:27,25.40,91.50,317.65,2.35,39.67,1009.00,25.29,0.91
05/02/2025 01:28,25.40,92.00,310.00,3.39,32.69,1009.00,25.20,1.33
05/02/2025 01:29,25.40,91.30,317.70,2.53,42.12,1009.00,25.22,1.18
05/02/2025 01:30,25.40,91.00,309.20,2.78,70.22,1009.00,25.30,1.10
05/02/2025 01:31,25.40,91.00,316.75,2.94,100.65,1009.00,25.30,1.33
05/02/2025 01:32,25.40,91.00,309.20,3.66,123.56,1008.95,25.39,1.77
05/02/2025 01:33,25.40,91.00,319.15,2.75,136.65,1008.91,25.40,1.67
05/02/2025 01:34,25.31,91.00,323.00,2.71,140.01,1009.00,25.39,1.35
05/02/2025 01:35,25.36,91.00,323.10,2.53,136.54,1009.00,25.40,1.24
05/02/2025 01:36,25.40,91.20,327.55,2.70,127.00,1009.00,25.40,1.48
05/02/2025 01:37,25.40,90.60,334.55,2.73,116.35,1009.00,25.40,1.43
05/02/2025 01:38,25.40,90.80,330.75,2.10,117.14,1009.00,25.40,1.21
